stock_id,date,資料日期,股票代號,股票名稱,除權息前收盤價,除權息參考價,權值+息值,權/息,漲停價格,跌停價格,開盤競價基準,減除股利參考價,詳細資料,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘,twse_divide_ratio
0056 元大高股息,2014-10-24,103年10月24日,0056,元大高股息,23.96,22.96,1.0,息,24.56,21.36,22.96,22.96,除權息資料,109年07月31日,30.26,,1.043554006968641
0056 元大高股息,2015-10-26,104年10月26日,0056,元大高股息,22.65,21.65,1.0,息,23.81,19.49,21.65,21.65,除權息資料,109年07月31日,30.26,,1.046189376443418
0056 元大高股息,2016-10-26,105年10月26日,0056,元大高股息,25.35,24.05,1.3,息,26.45,21.65,24.05,24.05,除權息資料,109年07月31日,30.26,,1.0540540540540542
0056 元大高股息,2017-10-30,106年10月30日,0056,元大高股息,26.39,25.44,0.95,息,27.98,22.9,25.44,25.44,除權息資料,109年07月31日,30.26,,1.0373427672955975
0056 元大高股息,2018-10-23,107年10月23日,0056,元大高股息,25.81,24.36,1.45,息,26.79,21.93,24.36,24.36,除權息資料,109年07月31日,30.26,,1.0595238095238095
0056 元大高股息,2019-10-23,108年10月23日,0056,元大高股息,29.03,27.23,1.8,息,29.95,24.51,27.23,27.23,除權息資料,109年07月31日,30.26,,1.0661035622475212
0057 富邦摩台,2016-08-02,105年08月02日,0057,富邦摩台,43.04,41.35,1.685,息,45.48,37.22,41.35,41.35,除權息資料,109年07月31日,68.75,,1.0408706166868198
0058 富邦發達,2010-05-03,99年05月03日,0058,富邦發達,32.5,30.3,2.2,息,32.42,28.18,30.3,30.3,除權息資料,108年12月16日,49.54,,1.0726072607260726
0058 富邦發達,2012-05-07,101年05月07日,0058,富邦發達,32.49,30.49,1.998,息,32.62,28.36,30.49,30.49,除權息資料,108年12月16日,49.54,,1.065595277140046
0059 富邦金融,2012-05-07,101年05月07日,0059,富邦金融,24.64,23.25,1.389,息,24.87,21.63,23.25,23.25,除權息資料,108年12月23日,50.16,,1.0597849462365592
0060 新台灣,2011-11-23,100年11月23日,0060,新台灣,27.15,25.85,1.3,息,27.65,24.05,25.85,25.85,除權息資料,105年02月25日,27.3,,1.0502901353965182
0060 新台灣,2012-11-22,101年11月22日,0060,新台灣,25.31,24.81,0.5,息,26.54,23.08,24.81,24.81,除權息資料,105年02月25日,27.3,,1.0201531640467554
0060 新台灣,2013-11-25,102年11月25日,0060,新台灣,31.47,30.47,1.0,息,32.6,28.34,30.47,30.47,除權息資料,105年02月25日,27.3,,1.0328191663931736
0060 新台灣,2014-11-25,103年11月25日,0060,新台灣,32.16,31.51,0.65,息,33.71,29.31,31.51,31.51,除權息資料,105年02月25日,27.3,,1.020628371945414
0060 新台灣,2015-11-24,104年11月24日,0060,新台灣,29.92,29.12,0.8,息,32.03,26.21,29.12,29.12,除權息資料,105年02月25日,27.3,,1.0274725274725276
006203 元大MSCI台灣,2011-11-23,100年11月23日,006203,元大MSCI台灣,24.4,23.6,0.8,息,25.25,21.95,23.6,23.6,除權息資料,109年07月31日,48.49,,1.0338983050847457
006203 元大MSCI台灣,2012-11-22,101年11月22日,006203,元大MSCI台灣,24.89,24.19,0.7,息,25.88,22.5,24.19,24.19,除權息資料,109年07月31日,48.49,,1.0289375775113683
006203 元大MSCI台灣,2013-11-25,102年11月25日,006203,元大MSCI台灣,27.55,26.7,0.85,息,28.56,24.84,26.7,26.7,除權息資料,109年07月31日,48.49,,1.0318352059925093
006203 元大MSCI台灣,2014-11-25,103年11月25日,006203,元大MSCI台灣,32.68,31.93,0.75,息,34.16,29.7,31.93,31.93,除權息資料,109年07月31日,48.49,,1.0234888819292203
006203 元大MSCI台灣,2015-11-24,104年11月24日,006203,元大MSCI台灣,30.42,29.42,1.0,息,32.36,26.48,29.42,29.42,除權息資料,109年07月31日,48.49,,1.0339904826648538
006203 元大MSCI台灣,2016-07-28,105年07月28日,006203,元大MSCI台灣,32.54,32.24,0.3,息,35.46,29.02,32.24,32.24,除權息資料,109年07月31日,48.49,,1.009305210918114
006203 元大MSCI台灣,2017-02-08,106年02月08日,006203,元大MSCI台灣,33.97,33.27,0.7,息,36.59,29.95,33.27,33.27,除權息資料,109年07月31日,48.49,,1.0210399759543132
006203 元大MSCI台灣,2017-07-31,106年07月31日,006203,元大MSCI台灣,38.13,37.83,0.3,息,41.61,34.05,37.83,37.83,除權息資料,109年07月31日,48.49,,1.0079302141157813
006203 元大MSCI台灣,2018-01-29,107年01月29日,006203,元大MSCI台灣,40.31,39.51,0.8,息,43.46,35.56,39.51,39.51,除權息資料,109年07月31日,48.49,,1.020248038471273
006203 元大MSCI台灣,2018-07-23,107年07月23日,006203,元大MSCI台灣,39.17,38.82,0.35,息,42.7,34.94,38.82,38.82,除權息資料,109年07月31日,48.49,,1.0090159711488924
006203 元大MSCI台灣,2019-01-22,108年01月22日,006203,元大MSCI台灣,35.25,34.4,0.85,息,37.84,30.96,34.4,34.4,除權息資料,109年07月31日,48.49,,1.0247093023255813
006203 元大MSCI台灣,2019-07-19,108年07月19日,006203,元大MSCI台灣,39.0,38.6,0.4,息,42.46,34.74,38.6,38.6,除權息資料,109年07月31日,48.49,,1.0103626943005182
006203 元大MSCI台灣,2020-01-31,109年01月31日,006203,元大MSCI台灣,43.5,42.1,1.4,息,46.31,37.89,42.1,42.1,除權息資料,109年07月31日,48.49,,1.033254156769596
006203 元大MSCI台灣,2020-07-21,109年07月21日,006203,元大MSCI台灣,45.7,45.42,0.28,息,49.96,40.88,45.42,45.42,除權息資料,109年07月31日,48.49,,1.0061646851607222
006204 永豐臺灣加權,2012-10-26,101年10月26日,006204,永豐臺灣加權,37.47,36.26,1.21,息,38.79,33.73,36.26,36.26,除權息資料,109年07月31日,63.76,,1.0333701047986763
006204 永豐臺灣加權,2013-10-25,102年10月25日,006204,永豐臺灣加權,42.96,42.06,0.9,息,45.0,39.12,42.06,42.06,除權息資料,109年07月31日,63.76,,1.021398002853067
006204 永豐臺灣加權,2014-10-24,103年10月24日,006204,永豐臺灣加權,44.18,43.46,0.72,息,46.5,40.42,43.46,43.46,除權息資料,109年07月31日,63.76,,1.0165669581224115
006204 永豐臺灣加權,2015-10-27,104年10月27日,006204,永豐臺灣加權,45.29,43.74,1.55,息,48.11,39.37,43.74,43.74,除權息資料,109年07月31日,63.76,,1.0354366712391403
