,0
966,3094 聯傑
967,3095 及成
968,3099 頂倫
969,3105 穩懋
970,3114 好德
971,3115 寶島極
972,3118 進階
973,3122 笙泉
974,3126 信億
975,3128 昇銳
976,3130 一零四
977,3131 弘塑
978,3141 晶宏
979,3142 遠茂
980,3144 新揚科
981,3147 大綜
982,3149 正達
983,3152 璟德
984,3162 精確
985,3163 波若威
986,3164 景岳
987,3167 大量
988,3169 亞信
989,3171 天馳
990,3171 新洲
991,3176 基亞
992,3178 公準
993,3188 安茂
994,3188 鑫龍騰
995,3189 景碩
996,3191 和進
997,3202 樺晟
998,3205 佰研
999,3205 天騵
1000,3206 志豐
1001,3207 耀勝
1002,3209 全科
1003,3211 順達
1004,3213 茂訊
1005,3217 優群
1006,3218 大學光
1007,3219 倚強
1008,3221 台嘉碩
1009,3224 三顧
1010,3226 至寶電
1011,3227 原相
1012,3228 金麗科
1013,3229 晟鈦
1014,3230 錦明
1015,3231 緯創
1016,3232 昱捷
1017,3234 光環
1018,3236 千如
1019,3252 宏連科
1020,3252 海灣
1021,3252 海灣科
1022,3257 虹冠電
1023,3259 鑫創
1024,3260 威剛
1025,3264 欣銓
1026,3265 台星科
1027,3265 台曜電
1028,3266 弘如洋
1029,3266 昇陽
1030,3266 昇陽開
1031,3268 海德威
1032,3271 其樂達
1033,3272 東碩
1034,3276 宇環
1035,3284 太普高
1036,3285 微端
1037,3287 廣寰科
1038,3288 點晶
1039,3289 宜特
1040,3290 東浦
1041,3291 遠翔科
1042,3293 鈊象
1043,3294 英濟
1044,3296 勝德
1045,3297 杭特
1046,3298 圓創
1047,3299 帛漢
1048,3303 岱稜
1049,3305 昇貿
1050,3306 鼎天
1051,3308 聯德
1052,3310 佳穎
1053,3311 閎暉
1054,3312 弘憶股
1055,3313 斐成
1056,3315 宣昶
1057,3317 尼克森
1058,3321 同泰
1059,3322 建舜電
1060,3323 加百裕
1061,3324 雙鴻
1062,3325 旭品
1063,3332 幸康
1064,3338 泰碩
1065,3339 泰谷
1066,3346 麗清
1067,3354 律勝
1068,3356 奇偶
1069,3360 尚立
1070,3362 先進光
1071,3363 上詮
1072,3367 英華達
1073,3369 鐵研
1074,3372 典範
1075,3373 熱映
1076,3374 精材
1077,3376 新日興
1078,3379 彬台
1079,3380 明泰
1080,3383 新世紀
1081,3388 崇越電
1082,3389 志遠
1083,3390 旭軟
1084,3402 漢科
1085,3406 玉晶光
1086,3413 京鼎
1087,3416 融程電
1088,3419 譁裕
1089,3426 台興
1090,3428 光燿科
1091,3431 長天
1092,3432 台端
1093,3434 哲固
1094,3437 榮創
1095,3438 類比科
1096,3441 聯一光
1097,3443 創意
1098,3444 利機
1099,3450 聯鈞
1100,3452 益通
1101,3454 晶睿
1102,3455 由田
1103,3465 祥業
1104,3465 進泰電子
1105,3466 致振
1106,3474 華亞科
1107,3479 安勤
1108,3481 群創
1109,3483 力致
1110,3484 崧騰
1111,3489 森寶
1112,3489 筌寶
1113,3490 單井
1114,3491 昇達科
1115,3492 長盛
1116,3494 誠研
1117,3498 陽程
1118,3499 環天科
1119,3501 維熹
1120,3504 揚明光
1121,3508 位速
1122,3511 矽瑪
1123,3512 皇龍
1124,3512 能緹
1125,3514 昱晶
1126,3515 華擎
1127,3516 亞帝歐
1128,3518 柏騰
1129,3519 綠能
1130,3520 振維
1131,3521 鴻翊
1132,3522 宏森
1133,3522 御頂
1134,3523 迎輝
1135,3526 凡甲
1136,3527 聚積
1137,3528 安馳
1138,3529 力旺
1139,3530 晶相光
1140,3531 先益
1141,3532 台勝科
1142,3533 嘉澤
1143,3534 雷凌
1144,3535 晶彩科
1145,3536 誠創
1146,3537 堡達
1147,3540 曜越
1148,3541 西柏
1149,3545 敦泰
1150,3546 宇峻
1151,3548 兆利
1152,3550 聯穎
1153,3551 世禾
1154,3552 同致
1155,3553 力積
1156,3555 擎泰
1157,3555 重鳥鵬
1158,3555 重鵬
1159,3556 禾瑞亞
1160,3557 嘉威
1161,3558 神準
1162,3559 全智科
1163,3561 昇陽光電
1164,3562 頂晶科
1165,3563 牧德
1166,3564 其陽
1167,3567 逸昌
1168,3570 大塚
1169,3573 穎台
1170,3576 聯合再生
1171,3577 泓格
1172,3579 尚志
1173,3580 友威科
1174,3581 博磊
1175,3582 凌耀
1176,3583 辛耘
1177,3584 介面
1178,3587 閎康
1179,3588 通嘉
1180,3591 艾笛森
1181,3593 力銘
1182,3594 磐儀
1183,3596 智易
1184,3598 奕力
1185,3599 旺能
1186,3605 宏致
1187,3607 谷崧
1188,3609 東林
1189,3611 鼎翰
1190,3614 誠致
1191,3615 安可
1192,3617 碩天
1193,3622 洋華
1194,3623 富晶通
1195,3624 光頡
1196,3625 西勝
1197,3628 盈正
1198,3629 卓韋
1199,3629 地心引力
1200,3629 群富通
1201,3630 新鉅科
1202,3631 晟楠
1203,3632 研勤
1204,3638 F-IML
1205,3642 駿熠電
1206,3645 達邁
1207,3646 艾恩特
1208,3652 精聯
1209,3653 健策
1210,3658 漢微科
1211,3661 世芯-KY
1212,3662 樂陞
1213,3663 鑫科
1214,3664 F-安瑞
1215,3664 KY安瑞
1216,3664 安瑞-KY
1217,3665 貿聯-KY
1218,3666 光耀
1219,3669 圓展
1220,3672 康聯訊
1221,3673 TPK-KY
1222,3675 德微
1223,3679 新至陞
1224,3680 家登
1225,3682 亞太電
1226,3684 榮昌
1227,3685 元創精密
1228,3685 政翔
1229,3686 達能
1230,3687 歐買尬
1231,3689 湧德
1232,3691 碩禾
1233,3693 營邦
1234,3694 海華
1235,3697 F-晨星
1236,3698 隆達
1237,3701 大眾控
1238,3702 大聯大
1239,3703 欣陸
1240,3704 合勤控
1241,3705 永信
1242,3706 神達
1243,3707 漢磊
1244,3708 上緯投控
1245,3709 鑫聯大投控
1246,3710 連展投控
1247,3711 日月光投控
1248,3712 永崴投控
1249,4102 永日
1250,4103 百略
1251,4104 佳醫
1252,4104 東貿
1253,4105 東洋
1254,4106 雃博
1255,4107 邦拓
1256,4107 邦特
1257,4108 懷特
1258,4109 加捷
1259,4109 穆拉德
1260,4109 穆拉德加捷
1261,4111 濟生
1262,4113 聯上
1263,4114 健喬
1264,4116 明基醫
1265,4119 旭富
1266,4120 友華
1267,4121 優盛
1268,4123 晟德
1269,4126 太醫
1270,4127 天良
1271,4128 中天
1272,4129 聯合
1273,4130 健亞
1274,4131 晶宇
1275,4133 亞諾法
1276,4137 麗豐-KY
1277,4138 曜亞
1278,4139 F-馬光
1279,4139 KY馬光
1280,4139 馬光-KY
1281,4141 龍燈-KY
1282,4142 國光生
1283,4144 康聯-KY
1284,4147 中裕
1285,4148 全宇生技-KY
1286,4152 台微體
1287,4153 鈺緯
1288,4154 F-康樂
1289,4154 KY康樂
1290,4154 康樂-KY
1291,4155 訊映
1292,4157 F*太景
1293,4157 太景*-KY
1294,4160 創源
1295,4161 聿新科
1296,4162 智擎
1297,4163 鐿鈦
1298,4164 承業醫
1299,4167 展旺
1300,4168 醣聯
1301,4171 瑞基
1302,4173 久裕
1303,4174 浩鼎
1304,4175 杏一
1305,4180 安成藥
1306,4183 福永生技
1307,4188 安克
1308,4190 佐登-KY
1309,4192 杏國
1310,4198 環瑞醫
1311,4205 中華食
1312,4205 恆義
1313,4207 環泰
1314,4303 信立
